,INST CODE,INSTITUTE NAME,PLACE,DIST,COED,TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS GEN OU,EWS GIRLS OU,TUITION FEE,AFFILIATED
44,AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,1999,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,99193.0,99193,117202.0,117202,114693.0,114693,99193.0,99193,99193.0,113714,99193.0,104537,124760.0,125393,122799.0,122799,99193.0,100630,83000,JNTUH
45,AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,1999,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,85457.0,108123,114550.0,114550,118202.0,118202,85457.0,108123,102260.0,108123,85457.0,108123,85457.0,123673,113496.0,120762,85457.0,108123,83000,JNTUH
46,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),73439.0,82442,106080.0,106080,90824.0,90824,73439.0,82442,80160.0,82442,90207.0,90207,123777.0,123819,116004.0,120232,75206.0,82442,70000,JNTUH
47,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,CSE,COMPUTER SCIENCE AND ENGINEERING,52973.0,52973,95285.0,95443,66977.0,66977,52973.0,69257,61304.0,71003,92745.0,113595,111332.0,116653,84491.0,98545,67550.0,70168,70000,JNTUH
48,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",66624.0,72303,105402.0,105402,100423.0,109854,66624.0,72303,84256.0,84329,98265.0,114922,126044.0,126044,119077.0,119077,82706.0,82706,70000,JNTUH
49,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,107389.0,107389,109468.0,116782,117839.0,117839,107389.0,113777,107389.0,111007,117875.0,117875,122025.0,124671,124671.0,124895,107389.0,110740,70000,JNTUH
50,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,96126.0,101273,107864.0,107864,117178.0,117178,96126.0,101273,106955.0,106955,96126.0,101273,98432.0,105823,96126.0,101273,96126.0,101273,70000,JNTUH
51,AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,CIV,CIVIL ENGINEERING,72370.0,124318,121854.0,124724,123016.0,124810,72370.0,126050,123350.0,124318,72370.0,124318,118742.0,125366,119494.0,124652,72370.0,124318,92000,JNTUH
52,AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),57291.0,64947,118174.0,118174,79825.0,86878,57291.0,64947,72958.0,83677,106329.0,107997,116370.0,122742,81640.0,104736,68470.0,68470,92000,JNTUH
53,AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),50981.0,59189,94063.0,98909,69087.0,77897,50981.0,83328,70909.0,80172,104134.0,104134,113551.0,121547,78010.0,78010,62236.0,62335,92000,JNTUH
54,AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,CSE,COMPUTER SCIENCE AND ENGINEERING,44762.0,45270,64569.0,72587,53095.0,53095,98118.0,98118,51171.0,56144,64376.0,86542,79488.0,92425,60862.0,60862,51215.0,51215,92000,JNTUH
55,AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",57760.0,65575,85940.0,116580,75298.0,88021,57760.0,80092,69686.0,78978,92759.0,97036,112122.0,119804,67692.0,76760,64899.0,65575,92000,JNTUH
56,AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,80278.0,95151,101578.0,103071,96278.0,98117,80278.0,95151,85603.0,95151,93803.0,104581,119714.0,125160,85797.0,120077,88048.0,98561,92000,JNTUH
57,AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,MEC,MECHANICAL ENGINEERING,124606.0,124606,124606.0,124606,124606.0,124606,124606.0,124606,124606.0,124606,124606.0,124606,124606.0,124606,124606.0,126050,124606.0,124606,92000,JNTUH
58,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CIV,CIVIL ENGINEERING,114575.0,114575,114575.0,124187,121720.0,121720,114575.0,114575,114575.0,114575,114575.0,114575,125318.0,125318,121739.0,125245,114575.0,114575,89000,JNTUH
59,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),47849.0,53645,96434.0,98686,75941.0,77511,47849.0,53645,70907.0,78907,112562.0,116430,122215.0,122215,90136.0,102318,64138.0,71629,89000,JNTUH
60,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),54770.0,56359,84362.0,117834,64347.0,71693,68087.0,68087,66843.0,68110,103761.0,103761,120306.0,121993,86080.0,93205,54770.0,58495,89000,JNTUH
61,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CSE,COMPUTER SCIENCE AND ENGINEERING,40932.0,43672,83970.0,85623,51025.0,52247,51517.0,52705,51231.0,52535,75394.0,89954,95597.0,106872,63274.0,71647,46995.0,46995,89000,JNTUH
62,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",49943.0,55761,104463.0,111551,70744.0,74770,49943.0,55761,69309.0,69309,109097.0,109097,122923.0,123413,97565.0,122454,54879.0,55761,89000,JNTUH
63,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,75939.0,87285,106441.0,114960,106782.0,116498,77035.0,102493,96184.0,103499,109436.0,115272,124337.0,125563,112419.0,124625,79650.0,93400,89000,JNTUH
64,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,121838.0,121838,125487.0,125487,121838.0,121838,121838.0,121838,121838.0,121838,121838.0,121838,121838.0,122334,121838.0,121838,121838.0,121838,89000,JNTUH
65,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,INF,INFORMATION TECHNOLOGY,45710.0,45710,107032.0,109619,73187.0,73187,67764.0,67764,66218.0,82556,108725.0,111982,124852.0,124852,57872.0,119514,55926.0,55926,89000,JNTUH
66,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,MEC,MECHANICAL ENGINEERING,80078.0,117979,80078.0,117979,102874.0,117979,80078.0,117979,80078.0,117979,80078.0,117979,80078.0,117979,122974.0,122974,80078.0,117979,89000,JNTUH
67,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,COED,PVT,2001,CIV,CIVIL ENGINEERING,54370.0,87798,111225.0,111225,116434.0,116434,54370.0,87798,114717.0,115634,54370.0,87798,121952.0,121952,126138.0,126138,54370.0,87798,68000,JNTUH
68,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,COED,PVT,2001,CSE,COMPUTER SCIENCE AND ENGINEERING,57264.0,57264,85020.0,89179,57264.0,58728,95709.0,95709,62208.0,62208,74185.0,74185,119501.0,119501,95170.0,95170,79088.0,79088,68000,JNTUH
69,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,COED,PVT,2001,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",52402.0,52402,99037.0,99741,65884.0,65884,62835.0,62835,70183.0,70596,52402.0,85869,121355.0,121355,117722.0,117722,62515.0,91116,68000,JNTUH
70,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,COED,PVT,2001,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),76689.0,90306,102424.0,111519,89885.0,93690,76689.0,90306,89416.0,90306,111892.0,111892,125957.0,125957,122096.0,122096,110423.0,110423,68000,JNTUH
71,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,COED,PVT,2001,CSW,COMPUTER ENGINEERING(SOFTWARE ENGINEERING),74754.0,74754,105496.0,105496,86452.0,103206,74754.0,86302,86262.0,86262,100332.0,103591,122188.0,123354,119843.0,119843,83879.0,99057,68000,JNTUH
72,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,76894.0,79849,115974.0,115974,110001.0,110001,100312.0,100312,103794.0,103946,107945.0,107945,119615.0,119615,124690.0,124690,118450.0,118450,68000,JNTUH
73,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,95394.0,102953,100429.0,102953,118036.0,118036,95394.0,102953,117108.0,117470,107969.0,114721,121855.0,121855,122627.0,122627,95394.0,102953,68000,JNTUH
