S.No,Institute Code,Institute Name,Place,Dist. Name,Region,CollegeType,Minority,Co-Educ.,Affil.to,BranchCode,fee,Convener Seats
137,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,OU,PVT,NA,COED,JNTUH,MEC,135000,42
138,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,OU,PVT,NA,COED,JNTUH,PHE,135000,21
139,BVRW,BVRIT COLLEGE OF ENGINEERING FOR WOMEN (AUTONOMOUS),BACHUPALLY,MDL,OU,PVT,NA,GIRLS,JNTUH,CSE,120000,126
140,BVRW,BVRIT COLLEGE OF ENGINEERING FOR WOMEN (AUTONOMOUS),BACHUPALLY,MDL,OU,PVT,NA,GIRLS,JNTUH,CSM,120000,42
141,BVRW,BVRIT COLLEGE OF ENGINEERING FOR WOMEN (AUTONOMOUS),BACHUPALLY,MDL,OU,PVT,NA,GIRLS,JNTUH,ECE,120000,84
142,BVRW,BVRIT COLLEGE OF ENGINEERING FOR WOMEN (AUTONOMOUS),BACHUPALLY,MDL,OU,PVT,NA,GIRLS,JNTUH,EEE,120000,42
143,BVRW,BVRIT COLLEGE OF ENGINEERING FOR WOMEN (AUTONOMOUS),BACHUPALLY,MDL,OU,PVT,NA,GIRLS,JNTUH,INF,120000,84
144,CASR,COLLEGE OF AGRICULTURAL ENGG,SANGAREDDY,SRD,OU,UNIV,NA,COED,PJTSAU,AGR,9700,30
145,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RR,OU,PVT,NA,COED,OU,AID,140000,84
146,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RR,OU,PVT,NA,COED,OU,AIM,140000,42
147,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RR,OU,PVT,NA,COED,OU,BIO,140000,42
148,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RR,OU,PVT,NA,COED,OU,CHE,140000,42
149,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RR,OU,PVT,NA,COED,OU,CIC,140000,42
150,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RR,OU,PVT,NA,COED,OU,CIV,140000,84
151,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RR,OU,PVT,NA,COED,OU,CSE,140000,126
